"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",3,456714861,152238287,99.02675092332339
"hipDeviceSynchronize",1,2772968,2772968,0.6012460616085498
"hipLaunchKernel",1,867657,867657,0.18812887637978132
"hipMalloc",3,662459,220819,0.14363702167754488
"hipFree",3,128301,42767,0.027818738243801783
"hipEventRecord",2,35550,17775,0.0077080938150688874
"hipEventElapsedTime",1,6077,6077,0.0013176395531413116
"hipEventCreate",2,5239,2619,0.0011359410266426413
"__hipPushCallConfiguration",1,5169,5169,0.0011207633454315353
"hipEventSynchronize",1,2794,2794,0.0006058063043404352
"__hipPopCallConfiguration",1,2445,2445,0.0005301347223022061
