num_reg,time,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,VALUInsts,SALUInsts,SFetchInsts,GDSInsts,VALUBusy,MemUnitStalled,FetchSize,WriteSize
32,13.425297,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3179451,3179451,307200,64,512,0,12,12,32,64,0x0,0x7f0e7d2066c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.1629222925,81.7202903325,7813791.2500000000,3906250.0000000000
34,13.387856,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3179714,3179714,307200,64,512,0,12,12,32,64,0x0,0x7fd27ebda6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.1550140929,81.4898981840,7813790.3125000000,3906250.0000000000
36,13.388658,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3179965,3179965,307200,64,512,0,12,12,32,64,0x0,0x7efbfe5c66c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.1381686210,81.7134884736,7813793.9375000000,3906250.0000000000
38,13.435057,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3180214,3180214,307200,64,512,0,12,12,32,64,0x0,0x7f1cc65306c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.1738198421,81.3767906632,7813789.6250000000,3906250.0000000000
40,13.46481,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3180474,3180474,307200,64,512,0,12,12,32,64,0x0,0x7f052e3286c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.1614084761,81.3233764430,7813782.6250000000,3906250.0000000000
42,13.413126,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3180721,3180721,307200,64,512,0,12,12,32,64,0x0,0x7f256fba46c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.1656550693,81.5062879850,7813785.9375000000,3906250.0000000000
44,13.448973,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3180983,3180983,307200,64,512,0,12,12,32,64,0x0,0x7fcb23a846c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.1655789039,81.5391896383,7813778.7500000000,3906250.0000000000
46,13.36977,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3181229,3181229,307200,64,512,0,12,12,32,64,0x0,0x7f80c2d2c6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.1666902912,81.5467089681,7813790.5625000000,3906250.0000000000
48,13.544651,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3181478,3181478,307200,64,512,0,12,12,32,64,0x0,0x7fd001dc66c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.1760793267,81.2954062549,7813791.7500000000,3906250.0000000000
50,13.506573,"vector_add(float*, float*, float*, int) [clone .kd]",2,0,1,3181727,3181727,307200,64,512,0,12,12,32,64,0x0,0x7efbe645a6c0,4800.0000000000,48842.1250000000,6521.4166666667,5.0000000000,0.0000000000,10.1574231230,81.5024938589,7813777.6250000000,3906250.0000000000
